feature,enable,disable
CPACK_SOURCE_RPM,CPACK_SOURCE_RPM:BOOL=ON,CPACK_SOURCE_RPM:BOOL=OFF
CPACK_SOURCE_TBZ2,CPACK_SOURCE_TBZ2:BOOL=ON,CPACK_SOURCE_TBZ2:BOOL=OFF
CPACK_SOURCE_TGZ,CPACK_SOURCE_TGZ:BOOL=ON,CPACK_SOURCE_TGZ:BOOL=OFF
CPACK_SOURCE_TXZ,CPACK_SOURCE_TXZ:BOOL=ON,CPACK_SOURCE_TXZ:BOOL=OFF
CPACK_SOURCE_TZ,CPACK_SOURCE_TZ:BOOL=ON,CPACK_SOURCE_TZ:BOOL=OFF
CPACK_SOURCE_ZIP,CPACK_SOURCE_ZIP:BOOL=ON,CPACK_SOURCE_ZIP:BOOL=OFF
PAHO_BUILD_DOCUMENTATION,PAHO_BUILD_DOCUMENTATION:BOOL=ON,PAHO_BUILD_DOCUMENTATION:BOOL=OFF
PAHO_BUILD_SAMPLES,PAHO_BUILD_SAMPLES:BOOL=ON,PAHO_BUILD_SAMPLES:BOOL=OFF
PAHO_BUILD_SHARED,PAHO_BUILD_SHARED:BOOL=ON,PAHO_BUILD_SHARED:BOOL=OFF
PAHO_BUILD_STATIC,PAHO_BUILD_STATIC:BOOL=ON,PAHO_BUILD_STATIC:BOOL=OFF
PAHO_BUILD_TESTS,PAHO_BUILD_TESTS:BOOL=ON,PAHO_BUILD_TESTS:BOOL=OFF
PAHO_WITH_SSL,PAHO_WITH_SSL:BOOL=ON,PAHO_WITH_SSL:BOOL=OFF
